KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K00121	1	Prochlorococcus	1.1.1.284,1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615,K00121	K18857	1.1.1.1,1.1.1.284
K00121	1	Prochlorococcus	1.1.1.284,1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615,K00121	K28615	1.1.1.1,1.1.1.284
K00128	1	Prochlorococcus	1.2.1.3	K00128,K00149,K14085,K28615	K00128	1.2.1.3
K00128	1	Prochlorococcus	1.2.1.3	K00128,K00149,K14085,K28615	K00149	1.2.1.3
K00128	1	Prochlorococcus	1.2.1.3	K00128,K00149,K14085,K28615	K14085	1.2.1.3
K00128	1	Prochlorococcus	1.2.1.3	K00128,K00149,K14085,K28615	K28615	1.2.1.3
K00129	1	Prochlorococcus	1.2.1.5	K00129	K00129	1.2.1.5
K00133	1	Prochlorococcus	1.2.1.11	K00133	K00133	1.2.1.11
K00134	1	Prochlorococcus	1.2.1.12	K00134,K10705	K00134	1.2.1.12
K00134	1	Prochlorococcus	1.2.1.12	K00134,K10705	K10705	1.2.1.12
K00145	1	Prochlorococcus	1.2.1.38	K00145,K12659	K00145	1.2.1.38
K00145	1	Prochlorococcus	1.2.1.38	K00145,K12659	K12659	1.2.1.38
K00147	1	Prochlorococcus	1.2.1.41	K00147,K12657	K00147	1.2.1.41
K00147	1	Prochlorococcus	1.2.1.41	K00147,K12657	K12657	1.2.1.41
K00150	1	Prochlorococcus	1.2.1.59	K00150	K00150	1.2.1.59
K00161	1	Prochlorococcus	1.2.4.1	K00161,K00162,K00163	K00161	1.2.4.1
K00161	1	Prochlorococcus	1.2.4.1	K00161,K00162,K00163	K00162	1.2.4.1
K00161	1	Prochlorococcus	1.2.4.1	K00161,K00162,K00163	K00163	1.2.4.1
K00162	1	Prochlorococcus	1.2.4.1	K00161,K00162,K00163	K00161	1.2.4.1
K00162	1	Prochlorococcus	1.2.4.1	K00161,K00162,K00163	K00162	1.2.4.1
K00162	1	Prochlorococcus	1.2.4.1	K00161,K00162,K00163	K00163	1.2.4.1
K00208	1	Prochlorococcus	1.3.1.9,1.3.1.10	K00208,K00209,K02371,K00208	K00208	1.3.1.10,1.3.1.9
