KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K00978	1	Prochlorococcus	2.7.7.33	K00978	K00978	2.7.7.33
K00981	1	Prochlorococcus	2.7.7.41	K00981	K00981	2.7.7.41
K00988	1	Prochlorococcus	2.7.7.5,2.7.7.53	K00988,K22966,K00988,K19710	K00988,K19710,K22966	2.7.7.5,2.7.7.53
K00991	1	Prochlorococcus	2.7.7.60	K00991,K12506	K00991,K12506	2.7.7.60
K00995	1	Prochlorococcus	2.7.8.5	K00995	K00995	2.7.8.5
K01000	1	Prochlorococcus	2.7.8.13	K01000	K01000	2.7.8.13
K01008	1	Prochlorococcus	2.7.9.3	K01008	K01008	2.7.9.3
K01012	1	Prochlorococcus	2.8.1.6	K01012	K01012	2.8.1.6
K01046	1	Prochlorococcus	3.1.1.3	K01046,K12298,K13534,K13616,K14073,K14074,K14075,K14076,K14452,K14674,K14675,K16816,K17900,K22283,K22284	K01046,K12298,K13534,K13616,K14073,K14074,K14075,K14076,K14452,K14674,K14675,K16816,K17900,K22283,K22284	3.1.1.3
K01056	1	Prochlorococcus	3.1.1.29	K01056,K04794,K05969,K15033	K01056,K04794,K05969,K15033	3.1.1.29
K01057	1	Prochlorococcus	3.1.1.31	K01057,K07404,K13937	K01057,K07404,K13937	3.1.1.31
K01069	1	Prochlorococcus	3.1.2.6	K01069	K01069	3.1.2.6
K01077	1	Prochlorococcus	3.1.3.1	K01077,K01113	K01077,K01113	3.1.3.1
K01082	1	Prochlorococcus	3.1.3.7	K01082,K06881,K15422,K15759	K01082,K06881,K15422,K15759	3.1.3.7
K01092	1	Prochlorococcus	3.1.3.25	K01092,K10047,K18649	K01092,K10047,K18649	3.1.3.25
K01104	1	Prochlorococcus	3.1.3.48	K01104,K01110,K02555,K04458,K04459,K05693,K05694,K05695,K05696,K05697,K05698,K05766,K05866,K05867,K06478,K06639,K06645,K06776,K06777,K06778,K07293,K07817,K08114,K11240,K13297,K14165,K14167,K14394,K14819,K15616,K16662,K16667,K16910,K17614,K17619,K17620,K17621,K17622,K18018,K18019,K18024,K18025,K18026,K18027,K18032,K18033,K18034,K18035,K18036,K18037,K18038,K18039,K18040,K18041,K18043,K18045,K18046,K18065,K18082,K18498,K18993,K19269,K19806,K19812,K20216,K20220,K20551,K20945,K21278,K21946,K23474,K23866,K25307,K25994,K26451	K01104,K01110,K02555,K04458,K04459,K05693,K05694,K05695,K05696,K05697,K05698,K05766,K05866,K05867,K06478,K06639,K06645,K06776,K06777,K06778,K07293,K07817,K08114,K11240,K13297,K14165,K14167,K14394,K14819,K15616,K16662,K16667,K16910,K17614,K17619,K17620,K17621,K17622,K18018,K18019,K18024,K18025,K18026,K18027,K18032,K18033,K18034,K18035,K18036,K18037,K18038,K18039,K18040,K18041,K18043,K18045,K18046,K18065,K18082,K18498,K18993,K19269,K19806,K19812,K20216,K20220,K20551,K20945,K21278,K21946,K23474,K23866,K25307,K25994,K26451	3.1.3.48
K01139	1	Prochlorococcus	2.7.6.5,3.1.7.2	K01139,K21138,K00951,K01139,K07816	K00951,K01139,K07816,K21138	2.7.6.5,3.1.7.2
K01142	1	Prochlorococcus	3.1.11.2	K01142,K02830,K10771,K10772,K10790,K10791,K10994	K01142,K02830,K10771,K10772,K10790,K10791,K10994	3.1.11.2
K01147	1	Prochlorococcus	3.1.13.1	K01147,K12573,K12579,K19782,K25165	K01147,K12573,K12579,K19782,K25165	3.1.13.1
K01159	1	Prochlorococcus	3.1.21.10	K01159,K01160,K03552,K17676,K26527	K01159,K01160,K03552,K17676,K26527	3.1.21.10
K01193	1	Prochlorococcus	3.2.1.26	K01193,K28898	K01193,K28898	3.2.1.26
K01214	1	Prochlorococcus	3.2.1.68	K01214	K01214	3.2.1.68
K01251	1	Prochlorococcus	3.13.2.1	K01251	K01251	3.13.2.1
K01255	1	Prochlorococcus	3.4.11.1	K01255,K11142,K28939	K01255,K11142,K28939	3.4.11.1
K01256	1	Prochlorococcus	3.4.11.2	K01256,K11140	K01256,K11140	3.4.11.2
K01259	1	Prochlorococcus	3.4.11.5	K01259,K11142	K01259,K11142	3.4.11.5
K01262	1	Prochlorococcus	3.4.11.9	K01262,K14208	K01262,K14208	3.4.11.9
K01265	1	Prochlorococcus	3.4.11.18	K01265	K01265	3.4.11.18
K01297	1	Prochlorococcus	3.4.17.13	K01297,K13694	K01297,K13694	3.4.17.13
K01299	1	Prochlorococcus	3.4.17.19	K01299	K01299	3.4.17.19
K01338	1	Prochlorococcus	3.4.21.53	K01338,K04076,K08675	K01338,K04076,K08675	3.4.21.53
K01356	1	Prochlorococcus	3.4.21.88	K01356	K01356	3.4.21.88
K01358	1	Prochlorococcus	3.4.21.92	K01358	K01358	3.4.21.92
K01409	1	Prochlorococcus	2.3.1.234	K01409,K15904,K25706	K01409,K15904,K25706	2.3.1.234
K01414	1	Prochlorococcus	3.4.24.70	K01414	K01414	3.4.24.70
K01424	1	Prochlorococcus	3.5.1.1	K01424,K13051,K13278	K01424,K13051,K13278	3.5.1.1
K01428	1	Prochlorococcus	3.5.1.5	K01427,K01428,K01429,K01430,K14048	K01427,K01428,K01429,K01430,K14048	3.5.1.5
K01429	1	Prochlorococcus	3.5.1.5	K01427,K01428,K01429,K01430,K14048	K01427,K01428,K01429,K01430,K14048	3.5.1.5
K01430	1	Prochlorococcus	3.5.1.5	K01427,K01428,K01429,K01430,K14048	K01427,K01428,K01429,K01430,K14048	3.5.1.5
K01433	1	Prochlorococcus	3.5.1.10	K01433	K01433	3.5.1.10
K01436	1	Prochlorococcus			K01436	
K01437	1	Prochlorococcus	3.5.1.15	K01437	K01437	3.5.1.15
K01448	1	Prochlorococcus	3.5.1.28	K01447,K01448,K03806,K11066,K13714,K22409,K24076,K24096	K01447,K01448,K03806,K11066,K13714,K22409,K24076,K24096	3.5.1.28
K01462	1	Prochlorococcus	3.5.1.88	K01462	K01462	3.5.1.88
K01465	1	Prochlorococcus	3.5.2.3	K01465,K11540	K01465,K11540	3.5.2.3
K01470	1	Prochlorococcus	3.5.2.10	K01470	K01470	3.5.2.10
K01480	1	Prochlorococcus	3.5.3.11	K01480	K01480	3.5.3.11
K01485	1	Prochlorococcus	3.5.4.1,3.5.4.21	K01485,K03365	K01485,K03365	3.5.4.1,3.5.4.21
K01491	1	Prochlorococcus	1.5.1.5,3.5.4.9	K00288,K00300,K01491,K00288,K01491,K01500,K13403	K00288,K00300,K01491,K01500,K13403	1.5.1.5,3.5.4.9
K01494	1	Prochlorococcus	3.5.4.13	K01494	K01494	3.5.4.13
K01495	1	Prochlorococcus	3.5.4.16	K01495,K09007,K22391	K01495,K09007,K22391	3.5.4.16
K01507	1	Prochlorococcus	3.6.1.1	K01507,K06019,K11725,K11726,K15986	K01507,K06019,K11725,K11726,K15986	3.6.1.1
K01515	1	Prochlorococcus	3.6.1.13	K01515,K01517,K04977,K13987,K13988,K18453,K26448,K26956	K01515,K01517,K04977,K13987,K13988,K18453,K26448,K26956	3.6.1.13
K01524	1	Prochlorococcus	3.6.1.11,3.6.1.40	K01514,K01524,K01524	K01514,K01524	3.6.1.11,3.6.1.40
K01533	1	Prochlorococcus	7.2.2.9	K01533	K01533	7.2.2.9
K01563	1	Prochlorococcus	3.8.1.5	K01563	K01563	3.8.1.5
K01582	1	Prochlorococcus	4.1.1.18	K01582,K28682	K01582,K28682	4.1.1.18
K01585	1	Prochlorococcus	4.1.1.19	K01583,K01584,K01585,K02626	K01583,K01584,K01585,K02626	4.1.1.19
K01586	1	Prochlorococcus	4.1.1.20	K01586,K12526	K01586,K12526	4.1.1.20
K01588	1	Prochlorococcus	5.4.99.18	K01588	K01588	5.4.99.18
K01589	1	Prochlorococcus	6.3.4.18	K01589	K01589	6.3.4.18
K01590	1	Prochlorococcus	4.1.1.22	K01590	K01590	4.1.1.22
K01591	1	Prochlorococcus	4.1.1.23	K01591,K13421	K01591,K13421	4.1.1.23
K01595	1	Prochlorococcus	4.1.1.31	K01595	K01595	4.1.1.31
K01599	1	Prochlorococcus	4.1.1.37	K01599	K01599	4.1.1.37
K01601	1	Prochlorococcus	4.1.1.39	K01601,K01602	K01601,K01602	4.1.1.39
K01602	1	Prochlorococcus	4.1.1.39	K01601,K01602	K01601,K01602	4.1.1.39
K01609	1	Prochlorococcus	4.1.1.48	K01609,K01656,K13498,K13501	K01609,K01656,K13498,K13501	4.1.1.48
K01611	1	Prochlorococcus	4.1.1.50	K01611	K01611	4.1.1.50
K01619	1	Prochlorococcus	4.1.2.4	K01619	K01619	4.1.2.4
K01624	1	Prochlorococcus	4.1.2.13	K01622,K01623,K01624,K11645,K16305,K16306	K01622,K01623,K01624,K11645,K16305,K16306	4.1.2.13
K01625	1	Prochlorococcus	4.1.2.14,4.1.3.42	K01625,K01625,K17463,K28887	K01625,K17463,K28887	4.1.2.14,4.1.3.42
K01626	1	Prochlorococcus	2.5.1.54	K01626,K03856,K13853	K01626,K03856,K13853	2.5.1.54
K01633	1	Prochlorococcus	4.1.2.25,5.1.99.8,1.13.11.81	K01633,K01633,K09739,K13939,K13940	K01633,K09739,K13939,K13940	1.13.11.81,4.1.2.25,5.1.99.8
K01647	1	Prochlorococcus	2.3.3.1	K01647	K01647	2.3.3.1
K01649	1	Prochlorococcus	2.3.3.13	K01649	K01649	2.3.3.13
K01652	1	Prochlorococcus	2.2.1.6	K01652,K01653,K11258	K01652,K01653,K11258	2.2.1.6
K01653	1	Prochlorococcus	2.2.1.6	K01652,K01653,K11258	K01652,K01653,K11258	2.2.1.6
K01657	1	Prochlorococcus	4.1.3.27	K01656,K01657,K01658,K13497,K13501,K13503	K01656,K01657,K01658,K13497,K13501,K13503	4.1.3.27
K01658	1	Prochlorococcus	4.1.3.27	K01656,K01657,K01658,K13497,K13501,K13503	K01656,K01657,K01658,K13497,K13501,K13503	4.1.3.27
K01661	1	Prochlorococcus	4.1.3.36	K01661	K01661	4.1.3.36
K01662	1	Prochlorococcus	2.2.1.7	K01662	K01662	2.2.1.7
K01664	1	Prochlorococcus	2.6.1.85	K01664,K01665,K03342,K13950	K01664,K01665,K03342,K13950	2.6.1.85
K01665	1	Prochlorococcus	2.6.1.85	K01664,K01665,K03342,K13950	K01664,K01665,K03342,K13950	2.6.1.85
K01669	1	Prochlorococcus	4.1.99.3	K01669	K01669	4.1.99.3
K01679	1	Prochlorococcus	4.2.1.2	K01675,K01676,K01677,K01678,K01679,K01774	K01675,K01676,K01677,K01678,K01679,K01774	4.2.1.2
K01682	1	Prochlorococcus	4.2.1.3,4.2.1.99	K01682,K27802,K01681,K01682,K27802	K01681,K01682,K27802	4.2.1.3,4.2.1.99
K01687	1	Prochlorococcus	4.2.1.9	K01687	K01687	4.2.1.9
K01689	1	Prochlorococcus	4.2.1.11	K01689,K27394	K01689,K27394	4.2.1.11
K01693	1	Prochlorococcus	4.2.1.19	K01089,K01693	K01089,K01693	4.2.1.19
K01695	1	Prochlorococcus	4.2.1.20	K01694,K01695,K01696,K06001	K01694,K01695,K01696,K06001	4.2.1.20
K01696	1	Prochlorococcus	4.2.1.20	K01694,K01695,K01696,K06001	K01694,K01695,K01696,K06001	4.2.1.20
K01698	1	Prochlorococcus	4.2.1.24	K01698	K01698	4.2.1.24
K01703	1	Prochlorococcus	4.2.1.33,4.2.1.35	K01703,K01704,K01702,K01703,K01704,K21359	K01702,K01703,K01704,K21359	4.2.1.33,4.2.1.35
K01704	1	Prochlorococcus	4.2.1.33,4.2.1.35	K01703,K01704,K01702,K01703,K01704,K21359	K01702,K01703,K01704,K21359	4.2.1.33,4.2.1.35
K01709	1	Prochlorococcus	4.2.1.45	K01709	K01709	4.2.1.45
K01710	1	Prochlorococcus	4.2.1.46	K01710	K01710	4.2.1.46
K01711	1	Prochlorococcus	4.2.1.47	K01711	K01711	4.2.1.47
K01714	1	Prochlorococcus	4.3.3.7	K01714	K01714	4.3.3.7
K01719	1	Prochlorococcus	4.2.1.75	K01719,K13542,K13543	K01719,K13542,K13543	4.2.1.75
K01724	1	Prochlorococcus	4.2.1.96	K01724	K01724	4.2.1.96
