Box	Taxonomies
93	Nostoc
94	Nostoc
89	Nostoc
37	Nostoc
112	Nostoc
30	Nostoc
101	Nostoc
31	Nostoc
69	Nostoc
62	Nostoc
83	Nostoc
39	Nostoc
135	Nostoc
134	Nostoc
80	Nostoc
