KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K00240	1	Synechocystis	1.3.5.1	K00233,K00234,K00235,K00239,K00240,K00244,K00245,K25995	K00233,K00234,K00235,K00239,K00240,K00244,K00245,K25995	1.3.5.1
K00241	1	Synechocystis			K00241	
K00254	1	Synechocystis	1.3.5.2	K00254	K00254	1.3.5.2
K00259	1	Synechocystis	1.4.1.1	K00259,K19244	K00259,K19244	1.4.1.1
K00262	1	Synechocystis	1.4.1.4	K00262	K00262	1.4.1.4
K00266	1	Synechocystis	1.4.1.13	K00265,K00266	K00265,K00266	1.4.1.13
K00274	1	Synechocystis	1.4.3.4	K00274	K00274	1.4.3.4
K00275	1	Synechocystis	1.4.3.5	K00275,K23998	K00275,K23998	1.4.3.5
K00278	1	Synechocystis	1.4.3.16	K00278	K00278	1.4.3.16
K00281	1	Synechocystis	1.4.4.2	K00281,K00282,K00283	K00281,K00282,K00283	1.4.4.2
K00284	1	Synechocystis	1.4.7.1	K00284	K00284	1.4.7.1
K00286	1	Synechocystis	1.5.1.2	K00286	K00286	1.5.1.2
K00290	1	Synechocystis	1.5.1.7	K00290	K00290	1.5.1.7
K00297	1	Synechocystis	1.5.1.54	K00297,K24042	K00297,K24042	1.5.1.54
K00324	1	Synechocystis	7.1.1.1	K00323,K00324,K00325	K00323,K00324,K00325	7.1.1.1
K00325	1	Synechocystis	7.1.1.1	K00323,K00324,K00325	K00323,K00324,K00325	7.1.1.1
K00342	1	Synechocystis	7.1.1.2	K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03940,K03941,K03942,K03943,K05572,K05573,K05574,K05575,K05576,K05577,K05578,K05579,K05580,K05581,K05582,K05583,K05584,K05585,K05586,K05587,K05588,K13378,K13380,K15863	K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03940,K03941,K03942,K03943,K05572,K05573,K05574,K05575,K05576,K05577,K05578,K05579,K05580,K05581,K05582,K05583,K05584,K05585,K05586,K05587,K05588,K13378,K13380,K15863	7.1.1.2
K00366	1	Synechocystis	1.7.7.1	K00366	K00366	1.7.7.1
K00367	1	Synechocystis	1.7.7.2	K00367	K00367	1.7.7.2
K00382	1	Synechocystis	1.8.1.4	K00382	K00382	1.8.1.4
K00384	1	Synechocystis	1.8.1.9	K00384,K22182	K00384,K22182	1.8.1.9
K00389	1	Synechocystis			K00389	
K00390	1	Synechocystis	1.8.4.8,1.8.4.10	K00390	K00390	1.8.4.10,1.8.4.8
K00392	1	Synechocystis	1.8.7.1	K00392	K00392	1.8.7.1
K00425	1	Synechocystis	7.1.1.7	K00424,K00425,K00426,K22501	K00424,K00425,K00426,K22501	7.1.1.7
K00426	1	Synechocystis	7.1.1.7	K00424,K00425,K00426,K22501	K00424,K00425,K00426,K22501	7.1.1.7
K00432	1	Synechocystis	1.11.1.9	K00432	K00432	1.11.1.9
K00433	1	Synechocystis	1.11.1.10	K00433,K17990	K00433,K17990	1.11.1.10
K00436	1	Synechocystis	1.12.1.2	K00436,K18005,K18006,K18007	K00436,K18005,K18006,K18007	1.12.1.2
K00457	1	Synechocystis	1.13.11.27	K00457	K00457	1.13.11.27
K00464	1	Synechocystis	1.13.11.75	K00464	K00464	1.13.11.75
K00493	1	Synechocystis			K00493	
K00507	1	Synechocystis	1.14.19.1	K00507	K00507	1.14.19.1
K00508	1	Synechocystis	1.14.19.46	K00508	K00508	1.14.19.46
K00514	1	Synechocystis	1.3.5.6	K00514	K00514	1.3.5.6
K00525	1	Synechocystis	1.17.4.1	K00525,K00526,K10807,K10808,K12970,K19448,K26039	K00525,K00526,K10807,K10808,K12970,K19448,K26039	1.17.4.1
K00526	1	Synechocystis	1.17.4.1	K00525,K00526,K10807,K10808,K12970,K19448,K26039	K00525,K00526,K10807,K10808,K12970,K19448,K26039	1.17.4.1
K00537	1	Synechocystis	1.20.4.1	K00537,K18065,K22547	K00537,K18065,K22547	1.20.4.1
K00548	1	Synechocystis	2.1.1.13	K00548,K24042	K00548,K24042	2.1.1.13
K00554	1	Synechocystis	2.1.1.228	K00554,K15429	K00554,K15429	2.1.1.228
