ec:3.5.1.49,ec:3.5.1.49
ec:1.7.2.6
ec:1.7.1.1,ec:1.7.1.2,ec:1.7.1.3
ec:1.9.6.1
ec:1.7.5.1,ec:1.7.5.1,ec:1.7.5.1
ec:1.7.7.2
ec:1.13.12.16
ec:1.7.3.1
ec:1.7.99.1,ec:1.7.2.1,ec:1.7.99.1
ec:1.7.2.2
ec:1.7.1.4,ec:1.7.1.4,ec:1.7.1.4,ec:1.7.1.4
ec:1.7.7.1
ec:1.7.2.1,ec:1.7.2.1,ec:1.7.99.1
ec:1.18.6.1,ec:1.18.6.1,ec:1.18.6.1
ec:1.7.2.4
ec:1.7.2.5
ec:1.14.99.39
ec:1.7.1.14
ec:3.5.5.1
ec:4.2.1.104
ec:4.2.1.1,ec:4.2.1.1,ec:4.2.1.1,ec:4.2.1.1,ec:4.2.1.1,ec:4.2.1.1,ec:4.2.1.1,ec:4.2.1.1
ec:2.7.2.2
ec:6.3.4.16
ko:K02575
ko:K02575
ec:7.3.2.4
ec:6.3.1.2
ec:1.4.1.13,ec:1.4.1.13
ec:1.4.1.14
ec:1.4.7.1
ec:1.4.1.2,ec:1.4.1.2
ec:1.4.1.3
ec:1.4.1.4
ec:1.7.7.2
ec:1.7.1.1,ec:1.7.1.2,ec:1.7.1.3
ko:K00372,ko:K00360
ec:1.7.5.1,ec:1.7.5.1,ec:1.7.5.1
ec:1.9.6.1
ec:1.7.2.2
ec:1.7.1.15,ec:1.7.1.15
ec:1.7.7.1
ec:1.7.5.1,ec:1.7.5.1,ec:1.7.5.1
ec:1.9.6.1
ec:1.7.2.1,ec:1.7.99.1
ec:1.7.2.1
ec:1.7.2.5
ec:1.7.2.4
ec:1.18.6.1,ec:1.18.6.1
ec:1.18.6.1
ec:1.14.99.39
ec:1.7.2.6
ec:1.7.5.1,ec:1.7.5.1
ec:1.7.2.8
ec:1.7.2.1,ec:1.7.99.1
ec:1.7.2.1
ec:1.7.1.15,ec:1.7.1.15
ec:1.7.1.4
ec:1.7.5.1,ec:1.7.5.1,ec:1.7.5.1
ec:1.7.2.7,ec:1.7.2.7,ec:1.7.2.7
ec:1.7.2.8
ec:1.7.2.7,ec:1.7.2.7,ec:1.7.2.7
ec:1.18.6.2,ec:1.18.6.2,ec:1.18.6.2
ec:1.18.6.2,ec:1.18.6.2,ec:1.18.6.2
ec:1.7.1.4,ec:1.7.1.4,ec:1.7.1.4
ko:K27148
